year,month,tmax,tmin,af,rain
1999,1,8.5,1.1,11.0,90.7
1999,2,8.2,1.3,10.0,39.6
1999,3,10.4,3.2,3.0,47.2
1999,4,13.5,4.8,5.0,39.8
1999,5,16.7,8.4,0.0,54.1
1999,6,18.1,8.9,0.0,64.7
1999,7,22.5,11.7,0.0,14.0
1999,8,19.9,11.1,0.0,128.1
1999,9,19.6,10.0,0.0,125.3
1999,10,14.3,6.3,1.0,80.8
1999,11,10.6,4.1,3.0,34.2
1999,12,7.8,1.1,10.0,79.8
