year,month,tmax,tmin,af,rain
1999,1,8.1,3.4,2.0,173.5
1999,2,7.5,3.3,4.0,89.0
1999,3,8.9,4.3,0.0,94.0
1999,4,10.7,5.7,2.0,79.0
1999,5,13.4,7.7,0.0,50.1
1999,6,13.7,8.8,0.0,88.0
1999,7,16.2,11.3,0.0,68.0
1999,8,17.2,10.8,0.0,78.4
1999,9,15.6,11.0,0.0,157.2
1999,10,13.1,9.1,0.0,103.6
1999,11,10.4,6.2,0.0,172.7
1999,12,7.4,3.2,0.0,259.6
