year,month,tmax,tmin,af,rain
1999,1,9.1,2.4,6.0,50.2
1999,2,8.2,1.8,9.0,36.1
1999,3,11.7,4.0,2.0,40.9
1999,4,14.3,5.2,3.0,33.0
1999,5,18.3,8.3,0.0,49.8
1999,6,19.2,9.7,0.0,89.0
1999,7,24.5,12.5,0.0,24.5
1999,8,21.6,12.4,0.0,92.5
1999,9,21.3,11.9,0.0,76.4
1999,10,14.9,7.3,0.0,43.7
1999,11,10.6,5.1,0.0,25.3
1999,12,7.8,1.8,8.0,63.1
