year,month,tmax,tmin,af,rain
1999,1,6.9,2.7,4.0,199.1
1999,2,7.6,2.2,7.0,101.5
1999,3,10.1,3.5,5.0,107.2
1999,4,13.3,5.6,3.0,66.5
1999,5,16.0,8.4,0.0,80.9
1999,6,17.5,9.0,0.0,97.1
1999,7,20.2,12.3,0.0,71.4
1999,8,19.1,11.3,0.0,45.4
1999,9,17.8,11.5,0.0,143.7
1999,10,13.1,7.6,0.0,59.6
1999,11,10.0,4.5,0.0,184.2
1999,12,6.4,0.9,9.0,297.1
